ICAOIATAKEY,ICAOCODE,IATACODE,DESCRIPTION,LAT,LON
213,TNCB,BON,BONAIRE IS-FLAMINGO,12.131044,-68.268511
1342,ENBO,BOO,BODO,67.269167,14.365278
3867,FEFO,BOP,BOUAR,,
822,LFLD,BOU,BOURGES,47.058056,2.370278
3008,YBRL,BOX,BORROLOOLA,,
1772,DFOO,BOY,BOBO-DIOULASSO,11.160056,-4.330969
1203,FKKV,BPC,BAMENDA,6.039239,10.122639
4022,SBBW,BPG,BARRA DO GARCAS,-15.861344,-52.388894
1493,WALL,BPN,BALIKPAPAN-SEPINGGAN,-1.268272,116.894478
3311,SBPS,BPS,PORTO SEGURO,-16.438611,-39.080833
4063,YBLN,BQB,BUSSELTON,,
434,EGKB,BQH,BIGGIN HILL,51.330833,0.0325
3006,YBOU,BQL,BOULIA,-22.9133,139.9
201,TJBQ,BQN,AGUADILLA,18.494861,-67.129444
2876,PRBQ,BQN,RAFAEL HERNANDEZ,,
244,UHBB,BQS,BLAGOVESCHENSK/IGNATYEVO,50.425394,127.412478
272,UMBB,BQT,BREST,52.06,23.53
2996,YBGO,BQW,BALGO HILL,,
2564,SAZS,BRC,SAN CARLOS DE BARILOCHE,-41.151172,-71.157542
2166,EDDW,BRE,BREMEN,53.0475,8.786667
3672,LIBD,BRI,BARI,41.138856,16.760594
2998,YBKE,BRK,BOURKE,-30.0392,145.952
2785,SVBM,BRM,BARQUISIMETO,10.042747,-69.358619
3492,LSZB,BRN,BERN BELP,46.9141,7.497153
1171,LKTB,BRQ,BRNO TURANY,49.151269,16.694433
460,EGPR,BRR,BARRA,57.0228,-7.44306
1878,EGGD,BRS,BRISTOL,51.382669,-2.719089
3012,YBTI,BRT,BATHURST ISLAND,-11.769167,130.619722
2142,EBBR,BRU,BRUSSELS,50.901389,4.484444
1800,EDWB,BRV,BREMERHAVEN AM LUNEORT,53.507081,8.572878
51,PABR,BRW,WILEY POST WILL ROGERS MEM,71.285446,-156.766003
3232,MDBH,BRX,BARAHONA,18.251464,-71.1204
677,HCMF,BSA,BOSASO,11.2753,49.1494
2575,SBBR,BSB,BRASILIA,-15.8711,-47.918625
2553,SKBS,BSC,BAHIA SOLANO,6.202917,-77.394675
2832,PHBS,BSF,BRADSHAW ARMY AIRFIELD,,
1916,PBSF,BSF,BRADSHAW ARMY AIRFIELD,,
1986,PHSF,BSF,BRADSHAW ARMY AIRFIELD,19.760056,-155.553717
3869,FGBT,BSG,BATA,1.905469,9.805681
3004,YBNS,BSJ,BAIRNSDALE,,
1585,DAUB,BSK,BISKRA,34.793289,5.738231
3162,RPUO,BSO,BASCO,20.451322,121.979883
3895,ORMM,BSR,BASRAH INTL,30.549069,47.662142
3905,VYPN,BSX,PATHEIN,16.815233,94.779911
2077,VCCB,BTC,BATTICALOA AB,7.705756,81.678783
3385,GFBN,BTE,BONTHE,7.53242,-12.5189
891,WIDD,BTH,BATTAM HANG NADIM,1.121028,104.118753
46,PABA,BTI,BARTER ISLAND,70.133989,-143.581867
3243,WITT,BTJ,BANDA ACEH SULTAN ISKANDAR M,5.523522,95.420372
253,UIBB,BTK,BRATSK,56.370556,101.698331
3221,LZIB,BTS,BRATISLAVA,48.170167,17.212667
52,PABT,BTT,BETTLES,66.913944,-151.529056
2971,WBGB,BTU,BINTULU,3.12385,113.020472
2995,YBEO,BTX,BETOOTA,,
707,LTBE,BTZ,BURSA,,
4071,AYBK,BUA,BUKA,-5.42232,154.673
2999,YBKT,BUC,BURKETOWN,-17.7486,139.534
3666,LHBP,BUD,BUDAPEST,47.436933,19.255592
1242,FNBG,BUG,BENGUELA,-12.609025,13.403711
1566,DAAD,BUJ,BOU-SAADA,35.3325,4.206389
2681,SKBU,BUN,BUENAVENTURA,3.819628,-76.989767
2475,FVBU,BUQ,BULAWAYO JOSHUA NKOMO,-20.017431,28.617869
2028,UGSB,BUS,BATUMI,41.610278,41.599694
2513,FZKA,BUX,BUNIA,1.565719,30.220833
3014,YBUN,BUY,BUNBURY,,
1490,OIBB,BUZ,BUSHEHR,28.944811,50.834637
851,LFOB,BVA,BEAUVAIS TILLE,49.454444,2.112778
648,GVBA,BVC,RABIL/BOAVISTA ISLAND,16.136531,-22.888897
790,LFBV,BVE,BRIVE LA ROCHE,45.150833,1.469167
1345,ENBV,BVG,BERLEVAG,70.866667,29
3340,SBVH,BVH,VILHENA,-12.694375,-60.098269
2994,YBDV,BVI,BIRDSVILLE,-25.8975,139.348
3017,YBYS,BVZ,BEVERLEY SPRINGS,,
